round_number,year,month,day,team1,team2,venue,knockout
1,2025,2,15,MIA,OGDC,MIA,
1,2025,2,15,NOLA,CAR,NOLA,
1,2025,2,15,HOU,CHI,HOU,
1,2025,2,15,LA,NE,LA,
1,2025,2,16,SD,SEA,SD,
2,2025,2,21,CAR,SD,CAR,
2,2025,2,23,CHI,UTAH,CHI,
2,2025,2,23,MIA,NOLA,MIA,
2,2025,2,23,LA,HOU,LA,
3,2025,2,28,CAR,MIA,CAR,
3,2025,3,1,UTAH,NOLA,UTAH,
3,2025,3,1,OGDC,SD,OGDC,
3,2025,3,1,HOU,SEA,HOU,
3,2025,3,2,CHI,NE,CHI,
4,2025,3,7,MIA,CHI,MIA,
4,2025,3,8,OGDC,CAR,OGDC,
4,2025,3,8,UTAH,HOU,UTAH,
4,2025,3,8,SEA,NE,SEA,
4,2025,3,8,SD,LA,SD,
5,2025,3,15,CHI,OGDC,CHI,
5,2025,3,15,NE,NOLA,NE,
5,2025,3,15,MIA,UTAH,MIA,
5,2025,3,15,LA,SEA,LA,
6,2025,3,22,OGDC,NE,OGDC,
6,2025,3,22,CAR,HOU,CAR,
6,2025,3,22,NOLA,LA,NOLA,
6,2025,3,22,SEA,UTAH,SEA,
6,2025,3,22,SD,MIA,SD,
7,2025,3,29,NOLA,CHI,NOLA,
7,2025,3,29,HOU,SD,HOU,
7,2025,3,29,SEA,CAR,SEA,
7,2025,3,29,UTAH,NE,UTAH,
7,2025,3,29,LA,OGDC,LA,
8,2025,4,5,OGDC,SEA,OGDC,
8,2025,4,5,CAR,NOLA,CAR,
8,2025,4,5,HOU,LA,HOU,
8,2025,4,5,SD,CHI,SD,
8,2025,4,6,NE,MIA,NE,
9,2025,4,12,NE,SD,NE,
9,2025,4,12,NOLA,OGDC,NOLA,
9,2025,4,12,MIA,HOU,MIA,
9,2025,4,12,LA,UTAH,LA,
9,2025,4,13,CHI,CAR,CHI,
10,2025,4,18,CAR,NE,CAR,
10,2025,4,18,SEA,CHI,SEA,
10,2025,4,19,OGDC,MIA,OGDC,
10,2025,4,19,HOU,NOLA,HOU,
10,2025,4,19,SD,UTAH,SD,
11,2025,4,22,NE,LA,NE,
11,2025,4,23,CAR,SEA,CAR,
12,2025,4,26,HOU,OGDC,HOU,
12,2025,4,26,UTAH,CHI,UTAH,
12,2025,4,26,LA,SD,LA,
12,2025,4,27,NOLA,SEA,NOLA,
12,2025,4,27,MIA,CAR,MIA,
13,2025,4,30,UTAH,SD,UTAH,
14,2025,5,2,SEA,LA,SEA,
14,2025,5,4,OGDC,UTAH,OGDC,
14,2025,5,4,NE,HOU,NE,
14,2025,5,4,CHI,MIA,CHI,
14,2025,5,4,SD,NOLA,SD,
15,2025,5,9,NOLA,MIA,NOLA,
15,2025,5,10,NE,CHI,NE,
15,2025,5,10,SD,HOU,SD,
15,2025,5,10,LA,CAR,LA,
15,2025,5,12,UTAH,SEA,UTAH,
16,2025,5,13,OGDC,NOLA,OGDC,
17,2025,5,16,MIA,NE,MIA,
17,2025,5,17,HOU,UTAH,HOU,
17,2025,5,17,SEA,SD,SEA,
17,2025,5,18,CAR,OGDC,CAR,
17,2025,5,19,CHI,LA,CHI,
18,2025,5,23,LA,MIA,LA,
18,2025,5,23,SEA,HOU,SEA,
18,2025,5,24,NE,OGDC,NE,
18,2025,5,24,CAR,CHI,CAR,
18,2025,5,24,NOLA,UTAH,NOLA,
19,2025,5,30,MIA,SD,MIA,
19,2025,5,30,UTAH,CAR,UTAH,
19,2025,5,31,OGDC,LA,OGDC,
19,2025,5,31,CHI,NOLA,CHI,
19,2025,6,1,NE,SEA,NE,
20,2025,6,4,CHI,HOU,CHI,
21,2025,6,7,NOLA,NE,NOLA,
21,2025,6,7,UTAH,LA,UTAH,
21,2025,6,7,SD,OGDC,SD,
21,2025,6,8,HOU,CAR,HOU,
21,2025,6,8,SEA,MIA,SEA,
