code,BUF,MIA,NE,NY,BAL,CIN,CLE,PIT,HOU,IND,JAX,TEN,DEN,KC,LV,LA,DAL,PHI,WAS,CHI,DET,GB,MIN,ATL,CAR,NO,TB,ARI,SEA,SF,LON,TOT,MEX,FRA
BUF,0.0,0.08256795658958346,0.03805148544047846,0.022359979806853555,0.021445140343288913,0.0315441956860592,0.06315281337326875,0.013884238359904892,0.10373347488037214,0.03505767433950364,0.07030599835337513,0.05016271500612242,0.11037547270856371,0.0689504245798633,0.15921330402811484,0.17734515931613423,0.09742529523388155,0.021972709676236993,0.022940657848124123,0.03660946118648538,0.5184998060011748,0.038466928218377855,0.05914262232639724,0.055736016208518355,0.0428702822520112,0.0871712581095495,0.08389564508546173,0.15383711178827908,0.17030473055934317,0.18390706961103842,0.28596996018887133,0.2865479972633155,0.16155250902233992,0.31772442598206957
MIA,0.08256795658958346,0.0,0.11322534893764818,0.07672486497351295,0.06503897690724046,0.06494154376249038,0.0198472245056543,0.06940558399056766,0.07440005638616289,0.07098583817385687,0.014786720216103628,0.05497915382040175,0.1310812744504953,0.09007203120917222,0.16968019510281307,0.18348011775233003,0.0849105463965046,0.07030794288419484,0.06279635812600849,0.08415776046542983,0.6001599024720201,0.09823549452568757,0.11067295310152406,0.037820159398312715,0.04047354166663375,0.049100135296011885,0.011095277463858745,0.15538113420704752,0.21101450138221511,0.20032614677322802,0.34677780828818117,0.34745773279536324,0.10741067544998742,0.3791733208034555
NE,0.03805148544047846,0.11322534893764818,0.0,0.03666339241760517,0.04851954469890323,0.06956875002508135,0.09543388354006573,0.050865928444360234,0.14175656799168634,0.07243131624994309,0.10320742790074262,0.08818975747984202,0.14094759656104525,0.1037495198204466,0.18961083186215016,0.20814522664781054,0.13478143455363517,0.04291960436909616,0.05080569351292191,0.0708503546235559,0.48730911895203044,0.06647610639649161,0.0853418794614939,0.09233259152681257,0.07702219500855013,0.12485693638079493,0.11688493736505927,0.18669121033242422,0.1887005424835692,0.21141066402985154,0.24796898500338976,0.24854254789668417,0.19944097274683648,0.27968493673068523
NY,0.022359979806853555,0.07672486497351295,0.03666339241760517,0.0,0.013789989507806166,0.045443748531057586,0.05955765517491659,0.02512613873004575,0.1143614240922153,0.05153468231901486,0.06745251253574897,0.060871198544452554,0.13060187710126758,0.08729092726447438,0.1791113106897577,0.19694254588122131,0.11130467491270832,0.006842793489097714,0.015909321364615817,0.05673477960339924,0.5239724308795121,0.06060919295040496,0.08121527767315878,0.0600802674412036,0.04288465365365171,0.09405239393123951,0.08098794713025526,0.17240782598406892,0.19263127465869215,0.20477377141872208,0.2775959082010216,0.2782181165167794,0.16855861239335718,0.30976653258654613
BAL,0.021445140343288913,0.06503897690724046,0.04851954469890323,0.013789989507806166,0.0,0.03398390017871082,0.046914892069990284,0.015866657352706915,0.100875336882394,0.04096201308437218,0.05469557345318718,0.04779513279340501,0.12121086446732851,0.07681073301452052,0.16916975956823452,0.18668203742860853,0.09854648690189212,0.007144103563006145,0.0022880887321983824,0.048525402564241996,0.5351301996527178,0.05540803984926141,0.07530846185797717,0.04629030034337772,0.02923839705935777,0.08027729292244885,0.06836590538983137,0.16146383017104352,0.1871995918344168,0.19578622142343924,0.29138166596392784,0.2920031584102585,0.1547688571468322,0.3235456645553635
CIN,0.0315441956860592,0.06494154376249038,0.06956875002508135,0.045443748531057586,0.03398390017871082,0.0,0.04554869872342394,0.020630916082391777,0.07219194593808814,0.007984615050521764,0.05046118227588273,0.019062686855212,0.08786698475713485,0.04296876009346952,0.13537991697852958,0.15276855150290966,0.06653172721447217,0.04031003152262564,0.03303156294237511,0.02019952557767633,0.5432414149362713,0.033411678753689764,0.04860979905644244,0.02967111183080997,0.02693321138878788,0.05680743635811701,0.062474088847897395,0.1274859775159841,0.15814427821730398,0.16252148971220487,0.3175134605909778,0.3180909802566373,0.13048528702851145,0.34925366628141186
CLE,0.06315281337326875,0.0198472245056543,0.09543388354006573,0.05955765517491659,0.046914892069990284,0.04554869872342394,0.0,0.04977032992069808,0.07100800426170945,0.052030305497111504,0.007937605879569203,0.03813637389577083,0.11847141617794217,0.0751175467471873,0.1603693928309023,0.1754488663306834,0.07730952965154782,0.052854411518237485,0.04462967975334919,0.06520185526982233,0.5814015160384242,0.0789543637778358,0.09249137961077851,0.021342504407968893,0.020659864727614583,0.04562321927439692,0.021463060858818276,0.14773513027459936,0.19638974764517822,0.19033592387485362,0.33422057939008293,0.33487652770142895,0.11447455406946212,0.3665752335915793
PIT,0.013884238359904892,0.06940558399056766,0.050865928444360234,0.02512613873004575,0.015866657352706915,0.020630916082391777,0.04977032992069808,0.0,0.09181801369409659,0.026408563268740092,0.056721463533536236,0.037851395774838155,0.10596336698758382,0.06220816026266567,0.15424868376441092,0.1719723986303458,0.08709505380583821,0.02081038237106905,0.015959507464194975,0.03273525140570543,0.5322258310236094,0.03987057413104202,0.05951397200423946,0.041947332734118076,0.029256692186264737,0.07399215440171752,0.07022953258546949,0.1472912917732884,0.17137822668236205,0.18040484914894336,0.2981500927087762,0.29874239266839536,0.14862158265166278,0.3300545005738395
HOU,0.10373347488037214,0.07440005638616289,0.14175656799168634,0.1143614240922153,0.100875336882394,0.07219194593808814,0.07100800426170945,0.09181801369409659,0.0,0.07000917736686856,0.06632731040266371,0.053975250255292866,0.07095319455782163,0.05220871569704021,0.09865762666123074,0.11056705853374757,0.018803222439041676,0.10800771083426458,0.09904952251610379,0.07614855263212157,0.5997824859200497,0.08843071480582008,0.08546897249058524,0.05668151239082304,0.07476849980651884,0.0257075087881205,0.06350271513464258,0.08246514766888219,0.15207348114188457,0.1297266660384187,0.38970275006839084,0.3902813326673934,0.06069437404658878,0.42143878103618976
IND,0.03505767433950364,0.07098583817385687,0.07243131624994309,0.05153468231901486,0.04096201308437218,0.007984615050521764,0.052030305497111504,0.026408563268740092,0.07000917736686856,0.0,0.05629623112125115,0.020130660600434183,0.08036553602511982,0.03590399403095044,0.12820934289982813,0.14577281651646082,0.062429816476061314,0.04690767975116969,0.0402221087799107,0.013184593788898882,0.5406617097044643,0.027469196782131992,0.041040801971681085,0.03426306092264331,0.034388911642724375,0.05732466218357757,0.06759500714876192,0.12089516486369636,0.15016391609600607,0.1550074484540403,0.32022371255791265,0.3207855913915469,0.12949916265866657,0.3517749472871078
