,Attack,Defense,Overall,Standardised,Quantile
COL,8.481112637362635,-17.646291208791208,26.127403846153847,1.197760581492082,0.8844948814679493
BL,14.687843406593405,-8.362637362637361,23.050480769230766,1.0533448412776407,0.8539085127923206
MEL,3.8705357142857126,-13.035714285714285,16.906249999999996,0.7649646600369283,0.7778537055971573
PA,12.338255494505493,-4.0065247252747245,16.344780219780215,0.7386120110134226,0.7699286856530583
ADE,13.149381868131867,-0.15109890109889923,13.300480769230766,0.5957274644731302,0.724321346214623
GEE,9.514766483516482,-2.429945054945054,11.944711538461535,0.5320942789411419,0.7026696502034311
SYD,4.529189560439559,-3.6480082417582413,8.177197802197801,0.3552655863191963,0.6388046829016579
WB,-1.1277472527472536,-7.960164835164834,6.83241758241758,0.292148171287974,0.6149133314890498
ESS,4.165521978021977,-2.046703296703296,6.212225274725274,0.2630393736510007,0.6037398842177863
CAR,-5.458447802197805,-10.39903846153846,4.940590659340655,0.20335505601550108,0.5805712370468473
GC,0.24004120879120716,-3.5958104395604384,3.835851648351645,0.1515040028603831,0.5602109232695381
STK,-7.610233516483518,-11.319368131868131,3.7091346153846128,0.1455565242734268,0.5578642545209023
RIC,-3.320054945054946,-3.840315934065932,0.5202609890109864,-0.0041136279175665895,0.4983589045262627
GWS,-1.6504120879120903,1.448145604395605,-3.098557692307695,-0.1739633009510243,0.43094715200025646
FRE,-6.039835164835167,3.0281593406593417,-9.067994505494509,-0.4541395076639296,0.32486420956641177
HAW,-15.036744505494507,10.645604395604398,-25.682348901098905,-1.2339361513374651,0.1086133485532037
NM,-12.320054945054947,21.087568681318682,-33.40762362637363,-1.5965228133758655,0.05518605825391555
WC,-23.551854395604394,36.151098901098905,-59.7029532967033,-2.830697150395976,0.002322333828326424
