,Attack,Defense,Overall,Standardised,Quantile
COL,8.478693181818183,-16.848958333333332,25.327651515151516,1.1546677957658487,0.8758867539118823
BL,14.59753787878788,-8.065814393939394,22.663352272727273,1.0297610527550363,0.8484389061027846
MEL,4.2182765151515165,-13.254734848484848,17.473011363636363,0.7864293099285702,0.7841919910923913
PA,12.806818181818183,-3.942708333333333,16.749526515151516,0.7525111469073295,0.7741281355089816
ADE,13.452178030303031,-0.4062499999999991,13.85842803030303,0.6169716813263767,0.7313732976912958
GEE,9.37594696969697,-2.196496212121212,11.572443181818182,0.5098009410995771,0.6949045368472112
SYD,4.795928030303032,-4.093749999999999,8.889678030303031,0.38402848581269905,0.6495213326703368
WB,-1.2561553030303019,-8.082859848484848,6.826704545454546,0.2873128861506927,0.6130636216453984
ESS,4.212594696969698,-1.901041666666666,6.113636363636364,0.2538830736441558,0.6002070541362601
CAR,-5.2504734848484835,-10.58806818181818,5.337594696969697,0.21750096029872812,0.5860910206498996
GC,0.5411931818181825,-3.6505681818181817,4.191761363636364,0.16378240368131816,0.5650487777798157
STK,-7.680871212121211,-11.094223484848484,3.4133522727272734,0.12728930158254875,0.5506442862351104
RIC,-2.953124999999999,-4.1969696969696955,1.2438446969696964,0.025579208020163367,0.5102035148799986
GWS,-1.4327651515151505,1.3963068181818183,-2.829071969696969,-0.16536584322899384,0.4343280183324039
FRE,-5.786931818181817,3.572916666666667,-9.359848484848483,-0.47153941819756223,0.3186277887259441
HAW,-15.021306818181817,10.844223484848486,-25.865530303030305,-1.245353006496286,0.10650100963239822
NM,-12.099431818181817,20.97443181818182,-33.07386363636364,-1.5832915626712656,0.056677512558042445
WC,-23.880681818181817,36.08380681818182,-59.96448863636363,-2.8439684163789365,0.0022277732122240224
