ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
15,URU,RUG,3,2,2,0,4,3,0,0,1
17,NAM,RUG,4,3,0,0,4,4,0,0,1
20,JPN,TOU,2,1,0,0,6,6,0,0,1
21,SAM,BOR,1,1,1,0,5,3,4,0,1
22,ENG,LIL,,,,,,,,,
23,ARG,NAN,,,,,,,,,
