ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
1,ENG,RUG,4,3,1,0,3,1,2,0,1
2,WAL,RUG,5,2,2,0,1,1,0,0,1
3,FRA,RUG,3,3,0,0,4,3,2,0,1
4,IRE,RUG,1,1,0,0,3,2,1,0,1
5,ITA,RUG,4,3,0,0,1,0,3,0,1
15,ITA,RUG,3,2,2,0,1,1,2,0,1
16,FRA,RUG,3,2,2,0,3,3,0,0,1
17,FRA,RUG,4,2,1,0,3,3,3,0,1
19,GEO,RUG,5,4,0,0,0,0,2,0,1
20,RSA,MAR,0,0,1,0,2,1,2,0,1
22,TGA,NIC,,,,,,,,,
23,ROM,LIL,,,,,,,,,
24,IRE,PAR,,,,,,,,,
