ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
1,WAL,RUG,4,4,2,0,1,1,1,0,1
2,FRA,RUG,4,3,2,0,1,1,3,1,1
3,ITA,RUG,4,3,1,0,2,2,2,0,1
4,SCO,RUG,3,2,1,0,1,1,0,0,1
5,ENG,RUG,4,3,1,0,1,1,3,0,1
16,ITA,RUG,5,4,0,0,2,2,1,0,1
18,ENG,RUG,5,2,0,0,1,1,1,0,1
19,SAM,RUG,3,1,0,0,1,1,2,0,1
20,ROM,BOR,12,11,0,0,1,0,1,0,1
21,TGA,NAN,8,8,1,0,1,1,3,0,1
22,RSA,PAR,1,1,2,0,1,0,1,0,1
24,SCO,PAR,,,,,,,,,
