ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
1,FRA,RUG,2,1,4,0,4,3,1,0,1
2,ENG,RUG,2,2,0,0,5,3,0,0,1
3,IRE,RUG,2,2,2,0,4,3,1,0,1
4,WAL,RUG,2,2,1,0,4,3,1,0,1
5,SCO,RUG,1,0,3,0,4,3,0,0,1
15,SCO,RUG,1,1,2,0,3,2,2,0,1
16,IRE,RUG,2,2,1,0,5,4,0,0,1
18,ROM,RUG,9,6,0,0,1,1,0,0,1
19,JPN,RUG,5,4,3,0,3,1,2,0,1
20,NAM,SE,7,7,1,0,1,0,1,0,1
22,URU,NIC,5,5,1,0,2,2,1,0,1
23,NZL,LYO,2,2,1,0,14,13,0,0,1
24,FRA,LYO,1,1,0,0,8,7,2,0,1
