ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
12,JPN,RUG,3,3,1,0,1,1,5,0,1
13,FIJ,RUG,3,2,0,0,4,2,3,0,1
14,TGA,RUG,4,4,2,0,0,0,3,0,1
19,IRE,RUG,1,1,2,0,3,1,0,0,1
21,CHI,BOR,5,3,4,0,1,1,1,0,1
22,ARG,SE,1,1,1,0,1,1,4,0,1
23,JPN,TOU,3,2,1,0,3,2,3,0,1
24,ENG,LIL,,,,,,,,,
