ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
16,URU,RUG,3,0,1,0,4,3,0,0,1
17,CHI,RUG,4,4,0,0,4,3,0,0,1
20,ITA,SE,1,0,1,0,7,7,1,0,1
21,NZL,TOU,0,0,1,0,11,8,0,0,1
22,FRA,MAR,0,0,0,0,14,13,0,0,1
23,URU,LYO,2,2,4,0,5,4,1,0,1
