ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
1,ITA,RUG,4,3,1,0,2,1,4,0,1
2,IRE,RUG,1,1,3,1,4,3,2,0,1
3,SCO,RUG,4,3,2,0,3,3,0,0,1
4,ENG,RUG,7,6,2,0,1,1,1,0,1
5,WAL,RUG,5,5,2,0,4,4,0,0,1
16,SCO,RUG,3,3,0,0,3,2,2,0,1
17,SCO,RUG,3,3,3,0,4,2,1,0,1
18,FIJ,RUG,3,2,5,0,2,2,1,0,1
19,AUS,RUG,4,3,5,0,3,1,0,0,1
20,NZL,PAR,2,1,5,0,2,0,1,0,1
21,URU,LIL,3,3,2,0,2,1,0,0,1
22,NAM,MAR,14,13,0,0,0,0,0,0,1
24,ITA,LYO,,,,,,,,,
