ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
1,IRE,RUG,1,1,1,0,4,4,2,0,1
2,SCO,RUG,1,1,0,0,5,2,2,0,1
3,ENG,RUG,1,1,1,0,3,1,1,0,1
4,ITA,RUG,4,3,1,0,2,2,1,0,1
5,FRA,RUG,4,4,0,0,5,5,2,0,1
16,ENG,RUG,2,2,2,0,0,0,3,0,1
17,ENG,RUG,2,2,1,0,1,1,4,0,1
18,RSA,RUG,1,1,3,0,8,6,0,0,1
20,FIJ,BOR,4,3,2,0,4,3,0,0,1
21,POR,NIC,,,,,,,,,
22,AUS,LYO,,,,,,,,,
24,GEO,NAN,,,,,,,,,
