ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
6,POR,RUG,2,2,2,0,5,5,1,0,1
7,GEO,RUG,1,1,0,0,4,4,1,0,1
17,GEO,RUG,0,0,2,0,8,5,2,0,1
18,ITA,RUG,1,1,0,0,9,6,0,0,1
20,IRE,BOR,1,0,1,0,12,11,0,0,1
21,RSA,BOR,0,0,0,0,12,8,0,0,1
23,SCO,LIL,0,0,0,0,12,12,0,0,1
24,TGA,LIL,3,3,1,0,7,5,0,0,1
