ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
1,SCO,RUG,3,1,2,0,4,3,1,0,1
2,ITA,RUG,5,3,0,0,2,2,0,0,1
3,WAL,RUG,3,1,1,0,1,1,1,0,1
4,FRA,RUG,1,1,1,0,7,6,2,0,1
5,IRE,RUG,1,1,3,0,4,3,1,0,1
16,WAL,RUG,0,0,3,0,2,2,2,0,1
17,WAL,RUG,1,1,4,0,2,2,1,0,1
18,IRE,RUG,1,1,1,0,5,2,0,0,1
19,FIJ,RUG,3,2,1,0,3,3,3,0,1
20,ARG,MAR,0,0,6,3,1,1,1,0,1
21,JPN,NIC,4,4,2,0,0,0,4,0,1
22,CHI,LIL,,,,,,,,,
24,SAM,LIL,,,,,,,,,
