ROUND,OPP,VENUE,T_F,C_F,P_F,DG_F,T_A,C_A,P_A,DG_A,weight
9,RSA,RUG,2,1,0,0,6,5,1,0,1
10,ARG,RUG,4,4,1,0,4,4,2,0,1
11,NZL,RUG,1,1,0,0,6,4,0,0,1
16,NZL,RUG,2,2,2,0,2,2,3,0,1
19,FRA,RUG,3,1,0,0,4,3,5,0,1
20,GEO,PAR,4,3,3,0,2,1,1,0,1
21,FIJ,SE,2,1,1,0,1,1,5,0,1
22,WAL,LYO,0,0,2,0,3,2,6,1,1
23,POR,SE,5,3,1,0,2,2,0,0,1
