,Attack,Defense,Overall,Standardised,Quantile
SF,6.863636363636364,-4.9799999999999995,11.843636363636364,1.958855259905338,0.9749351300670003
BAL,5.625619834710744,-4.886776859504132,10.512396694214875,1.7376183719062357,0.9588609597784572
JAX,4.777272727272728,-3.7127272727272724,8.49,1.401519049443731,0.919470542425171
DAL,7.05090909090909,-1.3445454545454538,8.395454545454545,1.3858066705096006,0.9170970275057637
KC,-0.540909090909091,-7.25090909090909,6.709999999999999,1.105703299895391,0.8655725193672771
BUF,3.995867768595041,-2.4289256198347102,6.424793388429752,1.0583052057505624,0.85504183980376
CLE,2.478181818181818,-3.4881818181818174,5.966363636363636,0.9821193963557885,0.8369794845639025
PHI,4.998181818181818,-0.3409090909090903,5.339090909090909,0.8778738053505002,0.8099938970159193
DET,5.414545454545454,1.4509090909090916,3.9636363636363634,0.6492889079722375,0.7419241730589081
MIA,7.8581818181818175,3.960909090909091,3.8972727272727274,0.6382600266050114,0.7383477858635263
LAC,5.063636363636364,1.6272727272727276,3.436363636363636,0.5616621793011255,0.7128268963911728
MIN,1.381818181818182,-1.1190082644628097,2.5008264462809917,0.4061865415962686,0.6576972289872538
TB,-1.6336363636363636,-3.1836363636363636,1.55,0.2481700034518889,0.597998562870808
CIN,0.5654545454545457,-0.17090909090909037,0.736363636363636,0.1129528962783626,0.5449660502701754
NO,-0.36090909090909096,-0.5909090909090908,0.23000000000000043,0.02880102064076041,0.5114883565673822
IND,3.1100000000000003,3.223636363636364,-0.1136363636363635,-0.02830743356213673,0.4887084759258997
PIT,-2.6354545454545453,-2.5181818181818176,-0.11727272727272756,-0.028911755828834127,0.488467484873238
GB,-2.0963636363636367,-1.6527272727272724,-0.4436363636363641,-0.08314967926491897,0.4668662621191022
LAR,-2.0618181818181816,-0.4854545454545448,-1.5763636363636369,-0.2713960653411353,0.3930432139646025
HOU,0.30818181818181856,2.5281818181818183,-2.2199999999999998,-0.3783611065465615,0.35258117841851166
TEN,-3.5700000000000003,-1.086363636363636,-2.483636363636364,-0.42217447088211757,0.3364488370042328
SEA,-2.2009090909090907,1.4781818181818192,-3.6790909090909096,-0.6208454160588628,0.2673506690185239
DEN,0.8954545454545461,4.92909090909091,-4.033636363636363,-0.6797668370618516,0.24832605403769992
ATL,-3.6881818181818176,0.9390909090909094,-4.627272727272727,-0.7784224471001897,0.21816000491067083
NYJ,-6.834545454545454,-2.121818181818181,-4.712727272727273,-0.792624020367577,0.21399845481006674
LV,-5.7785123966942145,-0.5438016528925617,-5.234710743801653,-0.8793717348325837,0.18959987621521668
CHI,-1.3016528925619832,4.584297520661158,-5.885950413223142,-0.9876003589592864,0.16167420521229275
NE,-7.403636363636363,-0.22999999999999937,-7.173636363636364,-1.201599114354991,0.11475944239498548
ARI,-3.5991735537190084,3.6669421487603313,-7.266115702479339,-1.2169681283648612,0.11180817122088221
WAS,-1.8743801652892562,7.310743801652893,-9.18512396694215,-1.535885470017404,0.062283236178846846
CAR,-6.090909090909092,3.3290909090909095,-9.420000000000002,-1.574919194607263,0.05763754874346586
NYG,-7.782644628099172,2.2264462809917362,-10.009090909090908,-1.6728194018122289,0.04718142710196673
