,Attack,Defense,Overall,Standardised,Quantile
SF,9.266666666666666,-4.466666666666668,13.733333333333334,1.9373064987693733,0.9736460558323153
BUF,5.277777777777778,-8.277777777777777,13.555555555555557,1.9121701374343292,0.9720728124668433
JAX,7.000000000000001,-5.444444444444444,12.444444444444445,1.7550678790903016,0.9603761511083171
KC,1.1944444444444446,-8.0,9.194444444444445,1.2955437734340216,0.9024336444334145
DET,5.905555555555555,-2.627777777777778,8.533333333333333,1.2020679297193253,0.8853313947760972
CLE,0.7333333333333332,-5.026666666666667,5.76,0.809940692892633,0.7910128687010112
DAL,2.366666666666667,-2.872222222222222,5.23888888888889,0.7362597337292842,0.7692136769436028
MIA,11.144444444444444,6.377777777777777,4.766666666666667,0.6694912739330724,0.748408927383597
BAL,0.8777777777777779,-3.8000000000000003,4.677777777777778,0.6569230932655503,0.7443848157598381
LAR,0.4555555555555551,-3.5,3.9555555555555553,0.5548066253419325,0.7104865325252945
LAC,4.2,1.1333333333333335,3.0666666666666664,0.42912481866671065,0.6660838041884783
IND,4.5,1.972222222222222,2.527777777777778,0.35293022336985747,0.6379296239987972
TB,-3.1666666666666665,-5.266666666666666,2.099999999999999,0.2924458539074068,0.6150271233018247
PHI,2.983333333333334,1.75,1.2333333333333336,0.1699060923990656,0.5674580051260346
GB,1.7000000000000006,1.066666666666667,0.6333333333333335,0.08507087289329082,0.533897476797161
NYJ,-3.0000000000000004,-3.138888888888889,0.1388888888888881,0.015160367930198516,0.5060478800820545
TEN,-1.9777777777777779,-1.8166666666666664,-0.16111111111111112,-0.027257241822688755,0.48912728013411333
NO,-3.494444444444444,-2.377777777777778,-1.116666666666666,-0.16236518399855218,0.4355091430752924
MIN,-1.427777777777778,0.3777777777777782,-1.8055555555555562,-0.25976858417184934,0.39752114271888167
HOU,0.2500000000000003,2.3111111111111113,-2.0611111111111113,-0.2959021035909755,0.38365242226886553
PIT,-2.046666666666666,0.5666666666666658,-2.6133333333333324,-0.373981925987957,0.35420888154432106
SEA,-0.3666666666666664,2.4999999999999996,-2.8666666666666663,-0.40980124089039527,0.34097587793897294
CIN,-2.861111111111111,0.75,-3.6111111111111107,-0.5150597539808935,0.303255632557048
ATL,-6.533333333333332,-2.6555555555555563,-3.8777777777777764,-0.55276429598346,0.2902124099589236
ARI,-1.9166666666666667,5.499999999999999,-7.416666666666665,-1.0531349888091872,0.14613956445614462
LV,-6.833333333333333,0.8111111111111112,-7.644444444444445,-1.085340951769713,0.13888533727011426
NYG,-8.1,0.3611111111111113,-8.461111111111112,-1.200811111652573,0.1149122402953881
WAS,-1.8611111111111116,6.666666666666667,-8.527777777777779,-1.2102372471532148,0.11309393470170215
CAR,-2.4055555555555554,6.4444444444444455,-8.85,-1.2557969020729824,0.10459480754993433
CHI,-1.688888888888889,7.622222222222223,-9.311111111111112,-1.320994339285754,0.0932516258489029
NE,-8.083333333333334,2.1666666666666674,-10.250000000000002,-1.4537457475864572,0.07300840486998224
DEN,-1.9166666666666659,10.055555555555555,-11.972222222222221,-1.6972542480196993,0.04482430150512108
