,Attack,Defense,Overall,Standardised,Quantile
HOU,3.1171875,-4.9921875,8.109375,1.070224082644254,0.8577407716235326
SEA,4.5390625,-2.96875,7.5078125,0.9908336641822042,0.839116595894834
NE,2.03515625,-3.74609375,5.78125,0.7629728527521655,0.7772602069370323
SD,-0.3125,-3.390625,3.078125,0.4062314918707476,0.6577137414506202
DAL,4.1640625,1.4140625,2.75,0.36292762725508415,0.6416705258754594
NOLA,-1.25390625,-3.97265625,2.71875,0.35880344967264,0.6401289340924794
CHI,1.35546875,-1.30859375,2.6640625,0.35158613890336277,0.6374256690614866
OGDC,-1.87890625,-0.11328125,-1.765625,-0.23301603340809382,0.40787447778323677
UTAH,0.8984375,2.8515625,-1.953125,-0.2577610989027586,0.39829564437361364
MIA,-5.98828125,-1.98046875,-4.0078125,-0.5289257749484607,0.29842847050489585
LA,-2.5390625,2.421875,-4.9609375,-0.654713191213007,0.25632621529489796
CAR,-4.13671875,15.78515625,-19.921875,-2.629163208808138,0.004279763496323859
