,Attack,Defense,Overall,Standardised,Quantile
HOU,5.144444444444444,-4.220833333333334,9.365277777777779,1.112810343172319,0.8671050538766101
NE,3.4104938271604937,-4.912037037037038,8.322530864197532,0.9895587796796503,0.8388050869498147
SEA,3.8805555555555555,-4.354166666666667,8.234722222222222,0.9791798926547386,0.8362544490580257
CHI,3.180555555555556,-0.7319444444444454,3.9125000000000014,0.468297875442564,0.6802142062313947
SD,-2.317901234567901,-4.072530864197532,1.7546296296296302,0.21323991890593735,0.5844300832843379
UTAH,-1.0,-2.043055555555556,1.043055555555556,0.12913262879720636,0.5513736479498086
DAL,4.069444444444445,3.5805555555555557,0.48888888888888926,0.06363072491942429,0.5253678668200874
NOLA,-1.5185185185185182,-1.0246913580246921,-0.4938271604938262,-0.05252525500085299,0.47905508626265625
MIA,-4.563888888888888,-2.755555555555556,-1.808333333333333,-0.20789847060401298,0.4176541216823869
OGDC,-5.175,-1.0430555555555556,-4.131944444444445,-0.48254680440734476,0.3147087789124643
LA,-2.5308641975308643,2.444444444444444,-4.9753086419753085,-0.5822315453408115,0.28020536391497886
CAR,-4.938888888888889,17.366666666666667,-22.305555555555554,-2.630648088218818,0.00426111157812474
