,Attack,Defense,Overall,Standardised,Quantile
HOU,3.852040816326531,-5.780612244897958,9.63265306122449,1.2040044840704764,0.8857060772924765
SEA,5.086734693877552,-3.4030612244897958,8.489795918367347,1.0611564944349963,0.8556906064623901
NE,3.1326530612244907,-3.0867346938775504,6.219387755102041,0.777373657882368,0.7815308253604271
CHI,1.0204081632653066,-2.3877551020408165,3.408163265306123,0.4259931119486644,0.6649435674208819
DAL,3.489795918367347,0.4846938775510206,3.0051020408163263,0.37561368703257975,0.6463979430510843
NOLA,-1.413265306122449,-3.489795918367346,2.0765306122448974,0.259549695453752,0.6023944280658124
SD,-2.4897959183673466,-3.316326530612245,0.8265306122448978,0.10330970678994555,0.5411414140306269
UTAH,0.22448979591836732,1.8265306122448979,-1.6020408163265305,-0.20024227118544996,0.4206455544799936
OGDC,-1.3520408163265305,0.6530612244897961,-2.0051020408163267,-0.2506216961015345,0.4010533029519835
MIA,-6.158163265306122,-1.8418367346938775,-4.316326530612244,-0.5395062465697155,0.29476879397911754
LA,-1.6224489795918366,3.545918367346939,-5.168367346938775,-0.6460045245568817,0.2591382126082352
CAR,-3.770408163265306,16.79591836734694,-20.566326530612248,-2.5706260991992007,0.005075743099343461
