,Attack,Defense,Overall,Standardised,Quantile
HOU,5.89,-5.036666666666666,10.926666666666666,1.1920092281211236,0.883371186555469
SEA,5.043333333333334,-3.9766666666666666,9.02,0.9783948893890134,0.8360604725682028
NE,3.7296296296296294,-3.5888888888888886,7.31851851851852,0.7877685739004132,0.784583956869809
CHI,4.220000000000001,-1.4300000000000002,5.65,0.6008352801964199,0.7260251483944361
DAL,5.640000000000001,3.1166666666666663,2.5233333333333334,0.2505376408070501,0.5989142002607423
SD,-2.3888888888888884,-4.618518518518519,2.22962962962963,0.21763240175993206,0.5861422317048797
UTAH,-0.8266666666666669,-1.793333333333333,0.9666666666666661,0.07613572439464521,0.5303444406725055
NOLA,-1.7851851851851857,-1.0592592592592593,-0.7259259259259265,-0.11349472005091507,0.45481917441270797
MIA,-4.366666666666667,-2.3133333333333335,-2.0533333333333337,-0.2622114624782428,0.39657920835402444
OGDC,-3.6733333333333333,0.3066666666666663,-3.9799999999999995,-0.4780665110571934,0.31630143338672156
LA,-2.5851851851851855,2.851851851851852,-5.437037037037038,-0.6413063728621899,0.2606618247652359
CAR,-4.746666666666667,18.246666666666666,-22.993333333333332,-2.608234672120056,0.00455052684623145
