,Attack,Defense,Overall,Standardised,Quantile
HOU,3.580341880341881,-6.047008547008547,9.627350427350429,1.201773260133448,0.8852743058824384
SEA,4.736752136752137,-4.202564102564103,8.93931623931624,1.1156546754261016,0.8677150106651154
NE,1.9461538461538466,-3.8128205128205126,5.75897435897436,0.717583552822331,0.7634929491209821
DAL,2.694871794871795,-0.7188034188034188,3.413675213675214,0.4240315075590288,0.6642285824038823
CHI,0.7316239316239318,-2.2170940170940177,2.9487179487179493,0.3658346006263626,0.6427557503175514
NOLA,-2.5794871794871788,-4.261538461538461,1.6820512820512827,0.20729082107817973,0.5821086289050242
SD,-2.4111111111111105,-3.629059829059829,1.2179487179487187,0.14920089375384551,0.5593024426130094
UTAH,-1.0547008547008545,1.0538461538461539,-2.1085470085470086,-0.2671637418747157,0.39467154578291447
OGDC,-2.803418803418803,-0.5307692307692309,-2.2726495726495717,-0.28770382667448013,0.3867867302799126
MIA,-6.076923076923077,-2.150427350427351,-3.9264957264957263,-0.49470936879710764,0.3104026436419651
LA,-2.118803418803418,2.1512820512820516,-4.27008547008547,-0.5377151713466147,0.29538685180705737
CAR,-3.644444444444445,17.054700854700855,-20.6991452991453,-2.5940772027063788,0.004742259342575389
