,Attack,Defense,Overall,Standardised,Quantile
HOU,2.7719780219780223,-7.002747252747252,9.774725274725274,1.2262560717160684,0.8899488367049446
SEA,3.5851648351648353,-5.148351648351649,8.733516483516484,1.0980547794958333,0.8639097150962005
NE,0.6868131868131873,-4.920329670329671,5.607142857142857,0.7131126408503771,0.7621119710175895
DAL,1.9917582417582418,-1.6703296703296706,3.6620879120879124,0.47362315564740437,0.6821156699627638
CHI,-0.7142857142857136,-2.722527472527472,2.0082417582417587,0.2699894408279276,0.6064158114730192
NOLA,-3.884615384615384,-5.854395604395605,1.9697802197802206,0.26525377304142816,0.6045930134684103
SD,-3.637362637362637,-4.315934065934067,0.6785714285714289,0.10627064020894623,0.5423161873134162
OGDC,-4.038461538461538,-1.722527472527473,-2.315934065934065,-0.26243492316851175,0.3964930755573871
UTAH,-2.195054945054945,0.15384615384615413,-2.348901098901099,-0.2664940669855114,0.3949293640567971
LA,-3.2390109890109886,0.9203296703296702,-4.159340659340658,-0.4894087149357359,0.31227618368465176
MIA,-7.271978021978021,-2.706043956043956,-4.565934065934065,-0.5394714886787302,0.29478078243254957
CAR,-4.667582417582417,16.59065934065934,-21.25824175824176,-2.5947513080194966,0.0047329691873578056
