,Attack,Defense,Overall,Standardised,Quantile
HOU,5.666666666666666,-3.897435897435897,9.564102564102564,1.21487180966987,0.8877925064425185
SEA,6.487179487179487,-2.897435897435897,9.384615384615385,1.1920726068074328,0.8833836115274787
NE,3.6666666666666665,-0.82051282051282,4.487179487179486,0.569980071560931,0.7156543926970796
CHI,2.923076923076923,-1.2051282051282044,4.128205128205128,0.5243816658360566,0.6999934470494283
DAL,5.461538461538462,2.4615384615384617,3.0,0.38107239070073684,0.6484252332290186
SD,-0.05128205128205137,-2.6153846153846154,2.564102564102564,0.3257028980348178,0.6276754243082118
NOLA,-2.025641025641026,-1.6923076923076918,-0.3333333333333346,-0.04234137674452637,0.483113280486692
UTAH,1.692307692307692,3.7435897435897436,-2.051282051282051,-0.26056231842785404,0.3972150257970833
MIA,-3.5641025641025643,-0.6923076923076917,-2.8717948717948727,-0.36478724579899585,0.3576351132020975
OGDC,-1.2564102564102568,2.384615384615385,-3.641025641025642,-0.4624981152094411,0.3218620768174185
LA,-0.6153846153846154,3.435897435897436,-4.051282051282052,-0.5146105788950119,0.3034125855879458
CAR,-0.7948717948717948,19.384615384615387,-20.179487179487182,-2.5632818075340156,0.00518439252007384
