round_number,year,month,day,team1,team2,venue,knockout
1,2024,9,5,KC,BAL,KC,TRUE
1,2024,9,6,PHI,GB,SP,TRUE
1,2024,9,8,ATL,PIT,ATL,TRUE
1,2024,9,8,BUF,ARI,BUF,TRUE
1,2024,9,8,CHI,TEN,CHI,TRUE
1,2024,9,8,CIN,NE,CIN,TRUE
1,2024,9,8,IND,HOU,IND,TRUE
1,2024,9,8,MIA,JAX,MIA,TRUE
1,2024,9,8,NO,CAR,NO,TRUE
1,2024,9,8,NYG,MIN,NY,TRUE
1,2024,9,8,LAC,LV,LA,TRUE
1,2024,9,8,SEA,DEN,SEA,TRUE
1,2024,9,8,CLE,DAL,CLE,TRUE
1,2024,9,8,TB,WAS,TB,TRUE
1,2024,9,8,DET,LAR,DET,TRUE
1,2024,9,9,SF,NYJ,SF,TRUE
2,2024,9,12,MIA,BUF,MIA,TRUE
2,2024,9,15,BAL,LV,BAL,TRUE
2,2024,9,15,CAR,LAC,CAR,TRUE
2,2024,9,15,DAL,NO,DAL,TRUE
2,2024,9,15,DET,BUF,DET,TRUE
2,2024,9,15,GB,IND,GB,TRUE
2,2024,9,15,JAX,CLE,JAX,TRUE
2,2024,9,15,MIN,SF,MIN,TRUE
2,2024,9,15,NE,SEA,NE,TRUE
2,2024,9,15,TEN,NYJ,TEN,TRUE
2,2024,9,15,WAS,NYG,WAS,TRUE
2,2024,9,15,ARI,LAR,ARI,TRUE
2,2024,9,15,DEN,PIT,DEN,TRUE
2,2024,9,15,KC,CIN,KC,TRUE
2,2024,9,15,HOU,CHI,HOU,TRUE
2,2024,9,16,PHI,ATL,PHI,TRUE
2,2024,9,19,NYJ,NE,NY,TRUE
3,2024,9,22,CLE,NYG,CLE,TRUE
3,2024,9,22,IND,CHI,IND,TRUE
3,2024,9,22,MIN,HOU,MIN,TRUE
3,2024,9,22,NO,PHI,NO,TRUE
3,2024,9,22,PIT,LAC,PIT,TRUE
3,2024,9,22,TB,DEN,TB,TRUE
3,2024,9,22,TEN,GB,TEN,TRUE
