code,name,stadium,r1,g1,b1,r2,g2,b2
ATL,Rugby ATL,ATL,0,56,45,255,255,255
CHI,Hounds,CHI,0,101,60,255,255,255
DAL,Jackals,DAL,0,174,148,30,25,26
HOU,SabreCats,HOU,2,0,1,249,226,0
NE,Free Jacks,NE,3,30,65,200,26,46
NOLA,Gold,NO,185,142,45,255,255,255
NY,Ironworkers,NY,0,45,98,243,119,54
OGDC,Old Glory DC,OGDC,9,32,81,197,10,42
SD,Legion,SD,255,0,0,0,0,0
SEA,Seawolves,SEA,24,42,85,99,180,69
TOR,Arrows,TOR,13,64,139,255,255,255
UTAH,Warriors,UTAH,0,0,0,200,28,34
