,NE,NY,OGDC,SD,SEA,HOU
NE,8.12066679934e-312,0.857001,0.933785,0.4967455,0.7208365,0.855798
NY,0.142999,8.120619482237e-312,0.649035,0.1309465,0.2997815,0.438913
OGDC,0.066215,0.350965,8.120614071467e-312,0.0551575,0.163929,0.2703345
SD,0.5032545,0.8690535,0.9448425,8.120614068305e-312,0.7354745,0.870904
SEA,0.2791635,0.7002185,0.836071,0.2645255,8.120621815175e-312,0.6755875
HOU,0.144202,0.561087,0.7296655,0.129096,0.3244125,8.1206670972e-312
