code,name,stadium,r1,g1,b1,r2,g2,b2
CAR,Anthem RC,CAR,23,133,200,255,255,255
CHI,Hounds,CHI,0,101,60,255,255,255
DAL,Jackals,DAL,0,174,148,30,25,26
HOU,SaberCats,HOU,2,0,1,249,226,0
LA,RFC LA,LA,16,6,158,153,234,255
MIA,Sharks,MIA,255,0,170,0,184,241
NE,Free Jacks,NE,3,30,65,200,26,46
NOLA,Gold,NOLA,185,142,45,255,255,255
OGDC,Old Glory DC,OGDC,9,32,81,197,10,42
SD,Legion,SD,255,0,0,0,0,0
SEA,Seawolves,SEA,24,42,85,99,180,69
UTAH,Warriors,UTAH,0,0,0,200,28,34
