round_number,year,month,day,team1,team2,venue,knockout
1,2024,3,2,NOLA,OGDC,NOLA,FALSE
1,2024,3,2,HOU,UTAH,HOU,FALSE
1,2024,3,2,SEA,SD,SEA,FALSE
1,2024,3,3,MIA,CHI,MIA,FALSE
1,2024,3,3,CAR,NE,CAR,FALSE
1,2024,3,3,LA,DAL,LA,FALSE
2,2024,3,9,NE,OGDC,NE,FALSE
2,2024,3,9,NOLA,CAR,NOLA,FALSE
2,2024,3,9,UTAH,CHI,UTAH,FALSE
2,2024,3,9,SEA,MIA,SEA,FALSE
2,2024,3,10,DAL,SD,DAL,FALSE
2,2024,3,10,LA,HOU,LA,FALSE
3,2024,3,16,NE,NOLA,NE,FALSE
3,2024,3,16,OGDC,CHI,OGDC,FALSE
3,2024,3,16,HOU,MIA,HOU,FALSE
3,2024,3,16,UTAH,SEA,UTAH,FALSE
3,2024,3,16,SD,LA,SD,FALSE
3,2024,3,17,CAR,DAL,CAR,FALSE
4,2024,3,22,SEA,HOU,SEA,FALSE
4,2024,3,23,OGDC,SD,OGDC,FALSE
4,2024,3,23,MIA,CAR,MIA,FALSE
4,2024,3,23,DAL,NOLA,DAL,FALSE
4,2024,3,24,CHI,NE,CHI,FALSE
4,2024,3,24,LA,UTAH,LA,FALSE
5,2024,3,29,DAL,HOU,DAL,FALSE
5,2024,3,30,CHI,SEA,CHI,FALSE
5,2024,3,30,CAR,OGDC,CAR,FALSE
5,2024,3,31,MIA,SD,MIA,FALSE
6,2024,4,5,UTAH,CAR,UTAH,FALSE
6,2024,4,5,SEA,DAL,SEA,FALSE
6,2024,4,6,NOLA,CHI,NOLA,FALSE
6,2024,4,6,NE,MIA,NE,FALSE
6,2024,4,6,OGDC,LA,OGDC,FALSE
7,2024,4,12,DAL,UTAH,DAL,FALSE
7,2024,4,13,HOU,NE,HOU,FALSE
7,2024,4,14,SD,NOLA,SD,FALSE
7,2024,4,14,CHI,CAR,CHI,FALSE
7,2024,4,14,LA,SEA,LA,FALSE
8,2024,4,20,NE,SEA,NE,FALSE
8,2024,4,20,NOLA,MIA,NOLA,FALSE
8,2024,4,20,OGDC,HOU,OGDC,FALSE
8,2024,4,21,CHI,LA,CHI,FALSE
8,2024,4,21,SD,UTAH,SD,FALSE
9,2024,4,26,UTAH,OGDC,UTAH,FALSE
9,2024,4,27,CAR,NOLA,CAR,FALSE
9,2024,4,27,MIA,DAL,MIA,FALSE
9,2024,4,27,HOU,SD,HOU,FALSE
9,2024,4,28,LA,NE,LA,FALSE
10,2024,5,3,SEA,CAR,SEA,FALSE
10,2024,5,4,OGDC,MIA,OGDC,FALSE
10,2024,5,4,UTAH,HOU,UTAH,FALSE
10,2024,5,5,NE,CHI,NE,FALSE
10,2024,5,5,SD,DAL,SD,FALSE
11,2024,5,10,CAR,HOU,CAR,FALSE
11,2024,5,10,DAL,LA,DAL,FALSE
11,2024,5,11,NOLA,SEA,NOLA,FALSE
11,2024,5,11,CHI,OGDC,CHI,FALSE
11,2024,5,11,MIA,UTAH,MIA,FALSE
12,2024,5,18,CAR,LA,CAR,FALSE
12,2024,5,18,NOLA,UTAH,NOLA,FALSE
12,2024,5,18,HOU,CHI,HOU,FALSE
12,2024,5,19,SD,NE,SD,FALSE
12,2024,5,19,DAL,SEA,DAL,FALSE
13,2024,5,24,SEA,OGDC,SEA,FALSE
13,2024,5,25,MIA,NE,MIA,FALSE
13,2024,5,26,CHI,NOLA,CHI,FALSE
13,2024,5,26,LA,SD,LA,FALSE
14,2024,6,1,OGDC,CAR,OGDC,FALSE
14,2024,6,1,NOLA,HOU,NOLA,FALSE
14,2024,6,1,UTAH,SD,UTAH,FALSE
14,2024,6,2,NE,DAL,NE,FALSE
14,2024,6,2,LA,MIA,LA,FALSE
15,2024,6,8,OGDC,NE,OGDC,FALSE
15,2024,6,8,HOU,LA,HOU,FALSE
15,2024,6,9,SD,CAR,SD,FALSE
15,2024,6,9,MIA,NOLA,MIA,FALSE
15,2024,6,9,DAL,CHI,DAL,FALSE
15,2024,6,9,SEA,UTAH,SEA,FALSE
16,2024,6,14,DAL,OGDC,DAL,FALSE
16,2024,6,15,HOU,SEA,HOU,FALSE
16,2024,6,16,NE,UTAH,NE,FALSE
16,2024,6,16,CAR,MIA,CAR,FALSE
16,2024,6,16,LA,NOLA,LA,FALSE
16,2024,6,17,CHI,SD,CHI,FALSE
17,2024,6,22,NOLA,NE,NOLA,FALSE
17,2024,6,22,CAR,CHI,CAR,FALSE
17,2024,6,22,MIA,OGDC,MIA,FALSE
17,2024,6,22,UTAH,DAL,UTAH,FALSE
17,2024,6,22,SEA,LA,SEA,FALSE
17,2024,6,23,SD,HOU,SD,FALSE
18,2024,6,28,UTAH,LA,UTAH,FALSE
18,2024,6,29,NE,CAR,NE,FALSE
18,2024,6,29,OGDC,NOLA,OGDC,FALSE
18,2024,6,29,CHI,MIA,CHI,FALSE
18,2024,6,29,HOU,DAL,HOU,FALSE
18,2024,6,29,SD,SEA,SD,FALSE
19,2024,7,20,NE,OGDC,NE,TRUE
19,2024,7,20,HOU,DAL,HOU,TRUE
19,2024,7,21,NOLA,CHI,NOLA,TRUE
19,2024,7,21,SEA,SD,SEA,TRUE
