,Attack,Defense,Overall,Standardised,Quantile
SD,7.319290657439446,-8.464792387543252,15.784083044982697,1.6209245556744776,0.947483090097995
NE,6.176081314878893,-8.29900519031142,14.47508650519031,1.4891143646663538,0.9317713721055984
SEA,5.463465974625144,-3.3023933102652823,8.765859284890425,0.9142203083872865,0.8196994524734218
HOU,3.9352076124567477,0.24455017301038118,3.6906574394463663,0.4031698171775346,0.6565883489301086
UTAH,1.558455882352941,0.0011029411764711394,1.55735294117647,0.18835544231291998,0.5747009868247396
NY,0.11379757785467186,-0.6588667820069203,0.772664359861592,0.10934075538226361,0.5435338888811947
OGDC,0.740556516724337,2.5960351787773934,-1.8554786620530561,-0.15530168115938014,0.43829174516114744
ATL,-4.447104779411765,0.5697150735294121,-5.016819852941176,-0.47363482685196046,0.31788016791991897
NOLA,-5.392417279411765,0.8822150735294119,-6.274632352941177,-0.6002910103004679,0.27415615442507557
CHI,-4.295653594771242,4.504084967320262,-8.799738562091504,-0.8545580932346166,0.19639791787797867
DAL,-7.2174836601307195,2.4823856209150326,-9.699869281045752,-0.9451972953951183,0.1722790799968269
TOR,-6.158042279411765,10.999402573529412,-17.157444852941175,-1.6961423366592925,0.04492946379509683
