,Attack,Defense,Overall,Standardised,Quantile
SD,8.176339285714285,-8.212053571428571,16.388392857142858,1.59552135213428,0.9447021504459766
NE,6.0736607142857135,-3.959821428571429,10.033482142857142,0.9856903967262449,0.837857468307716
SEA,5.88265306122449,-2.568877551020408,8.451530612244898,0.8338829116653157,0.79782651621405
HOU,6.3705357142857135,-0.5535714285714288,6.924107142857142,0.687308057111425,0.7540556887007493
UTAH,3.308035714285714,1.7901785714285712,1.5178571428571432,0.16851263245450177,0.5669099967420537
NOLA,-2.203125,-2.9375,0.734375,0.09332799411652482,0.5371785034774249
ATL,-1.6339285714285716,-0.6540178571428572,-0.9799107142857144,-0.07117856498195459,0.4716278204029139
OGDC,3.011160714285714,4.993303571428571,-1.9821428571428572,-0.16735492570489371,0.4335453945003241
NY,-2.4375,0.15625,-2.59375,-0.22604606788325746,0.41058279523668756
DAL,-10.863839285714285,-1.9129464285714288,-8.950892857142858,-0.8360912245401185,0.2015517924026849
CHI,-3.045918367346939,6.5561224489795915,-9.602040816326532,-0.8985767888405456,0.1844390633530476
TOR,-12.104910714285715,10.694196428571429,-22.799107142857142,-2.164995772257522,0.01519400451952655
